ProductID,ProductName,UnitPrice,UnitsInStock,Discontinued
1,Chai,18,39,False
2,Chang,19,17,False
3,Aniseed Syrup,10,13,False
4,Chef Anton's Cajun Seasoning,22,53,False
5,Chef Anton's Gumbo Mix,21.35,0,True
6,Grandma's Boysenberry Spread,25,120,False
7,Uncle Bob's Organic Dried Pears,30,15,False
8,Northwoods Cranberry Sauce,40,6,False
9,Mishi Kobe Niku,97,29,True
10,Ikura,31,31,False
11,Queso Cabrales,21,22,False
12,Queso Manchego La Pastora,38,86,False
13,Konbu,6,24,False
14,Tofu,23.25,35,False
15,Genen Shouyu,15.5,39,False
16,Pavlova,17.45,29,False
17,Alice Mutton,39,0,True
18,Carnarvon Tigers,62.5,42,False
19,Teatime Chocolate Biscuits,9.2,25,False
20,Sir Rodney's Marmalade,81,40,False
21,Sir Rodney's Scones,10,3,False
22,Gustaf's Knäckebröd,21,104,False
23,Tunnbröd,9,61,False
24,Guaraná Fantástica,4.5,20,True
25,NuNuCa Nuß-Nougat-Creme,14,76,False
26,Gumbär Gummibärchen,31.23,15,False
27,Schoggi Schokolade,43.9,49,False
28,Rössle Sauerkraut,45.6,26,True
29,Thüringer Rostbratwurst,123.79,0,True
30,Nord-Ost Matjeshering,25.89,10,False
31,Gorgonzola Telino,12.5,0,False
32,Mascarpone Fabioli,32,9,False
33,Geitost,2.5,112,False
34,Sasquatch Ale,14,111,False
35,Steeleye Stout,18,20,False
36,Inlagd Sill,19,112,False
37,Gravad lax,26,11,False
38,Côte de Blaye,263.5,17,False
39,Chartreuse verte,18,69,False
40,Boston Crab Meat,18.4,123,False
41,Jack's New England Clam Chowder,9.65,85,False
42,Singaporean Hokkien Fried Mee,14,26,True
43,Ipoh Coffee,46,17,False
44,Gula Malacca,19.45,27,False
45,Rogede sild,9.5,5,False
46,Spegesild,12,95,False
47,Zaanse koeken,9.5,36,False
48,Chocolade,12.75,15,False
49,Maxilaku,20,10,False
50,Valkoinen suklaa,16.25,65,False
51,Manjimup Dried Apples,53,20,False
52,Filo Mix,7,38,False
53,Perth Pasties,32.8,0,True
54,Tourtière,7.45,21,False
55,Pâté chinois,24,115,False
56,Gnocchi di nonna Alice,38,21,False
57,Ravioli Angelo,19.5,36,False
58,Escargots de Bourgogne,13.25,62,False
59,Raclette Courdavault,55,79,False
60,Camembert Pierrot,34,19,False
61,Sirop d'érable,28.5,113,False
62,Tarte au sucre,49.3,17,False
63,Vegie-spread,43.9,24,False
64,Wimmers gute Semmelknödel,33.25,22,False
65,Louisiana Fiery Hot Pepper Sauce,21.05,76,False
66,Louisiana Hot Spiced Okra,17,4,False
67,Laughing Lumberjack Lager,14,52,False
68,Scottish Longbreads,12.5,6,False
69,Gudbrandsdalsost,36,26,False
70,Outback Lager,15,15,False
71,Flotemysost,21.5,26,False
72,Mozzarella di Giovanni,34.8,14,False
73,Röd Kaviar,15,101,False
74,Longlife Tofu,10,4,False
75,Rhönbräu Klosterbier,7.75,125,False
76,Lakkalikööri,18,57,False
77,Original Frankfurter grüne Soße,13,32,False
